date,symbol,open,high,low,close,volume
2023-01-01,BTC,550.35,555.44,549.25,554.67,58708016.74
2023-01-02,BTC,552.78,553.05,544.5,544.89,12883086.91
2023-01-03,BTC,548.11,551.49,541.73,546.33,52958955.82
2023-01-04,BTC,545.34,552.11,540.6,548.04,57796910.14
2023-01-05,BTC,543.38,545.38,532.06,534.86,86701917.33
2023-01-06,BTC,546.35,550.72,533.61,536.76,95005357.63
2023-01-07,BTC,547.66,556.14,543.39,554.65,65311580.53
2023-01-08,BTC,549.47,549.97,541.9,546.43,73145329.52
2023-01-09,BTC,551.94,555.79,549.74,552.17,88529906.65
2023-01-10,BTC,549.5,550.94,548.09,549.94,89208211.34
2023-01-11,BTC,548.04,555.48,547.33,550.57,90625233.53
2023-01-12,BTC,550.01,551.69,543.66,544.35,97057621.0
2023-01-13,BTC,543.68,545.84,534.0,536.08,7696487.51
2023-01-14,BTC,552.84,557.03,549.4,556.49,81950079.24
2023-01-15,BTC,552.43,554.16,548.97,550.24,52900003.87
2023-01-16,BTC,546.92,558.01,543.25,555.37,38544353.46
2023-01-17,BTC,547.98,560.59,545.71,556.94,22002225.15
2023-01-18,BTC,550.66,555.02,547.49,552.23,71495462.18
2023-01-19,BTC,547.26,547.64,542.46,546.67,45376754.71
2023-01-20,BTC,548.38,559.53,545.45,557.96,49780255.06
2023-01-21,BTC,543.82,544.95,531.7,535.35,11054064.02
2023-01-22,BTC,543.62,544.49,539.24,543.05,70830876.65
2023-01-23,BTC,544.32,551.32,541.17,549.02,70427518.1
2023-01-24,BTC,543.26,547.82,540.28,545.64,78114476.77
2023-01-25,BTC,552.97,559.35,552.26,557.73,62467892.94
2023-01-26,BTC,552.26,554.16,550.67,552.78,36043794.57
2023-01-27,BTC,551.96,552.26,540.19,544.56,29340256.1
2023-01-28,BTC,545.63,548.97,540.94,548.12,1225853.17
2023-01-29,BTC,547.96,551.11,538.56,542.99,77199795.06
2023-01-30,BTC,548.72,561.7,548.55,557.09,5709434.65
2023-01-31,BTC,546.31,549.08,544.97,547.94,81148277.41
2023-02-01,BTC,547.58,551.57,539.55,542.41,70932687.13
2023-02-02,BTC,548.91,549.8,536.49,540.35,77576358.37
2023-02-03,BTC,548.54,552.83,547.68,551.03,88518577.26
2023-02-04,BTC,551.44,553.0,540.81,542.77,9806652.66
2023-02-05,BTC,544.35,548.11,538.83,540.0,31851833.86
2023-02-06,BTC,550.66,561.94,548.8,557.17,84849230.25
2023-02-07,BTC,547.52,551.44,542.05,544.55,93654573.96
2023-02-08,BTC,550.82,555.76,542.48,542.66,22792617.33
2023-02-09,BTC,544.39,557.13,542.41,552.99,69550976.64
2023-02-10,BTC,543.46,548.85,542.31,546.77,71439468.95
2023-02-11,BTC,549.52,550.36,536.0,539.53,29574582.91
2023-02-12,BTC,550.94,560.02,550.77,556.56,89527595.47
2023-02-13,BTC,545.77,556.69,541.98,552.82,73373375.39
2023-02-14,BTC,553.24,560.43,551.28,556.41,65128033.27
